3  (1,4)
24.875,C1  (9,12)
24.875,Bb3  (9,12)
24.8802083333,B1  (0,3)
25,C1  (9,12)
25,Gb1  (9,12)
25,Bb3  (9,12)
25.0052083333,A1  (0,3)
25.125,Bb3  (9,12)
25.25,Gb1  (9,12)
25.25,Bb3  (9,12)
25.375,Bb3  (9,12)
25.4947916667,G3  (7,10)
25.5,D1  (9,12)
25.5,Gb1  (9,12)
25.5,Bb3  (9,12)
25.5052083333,Gb2  (9,12)
25.5052083333,E1  (0,3)
25.625,Bb3  (9,12)
25.75,D1  (9,12)
25.75,Bb1  (9,12)
25.75,Bb3  (9,12)
25.875,D1  (9,12)
25.875,Bb3  (9,12)
25.8802083333,A0  (0,3)
25.9895833333,D3  (6,9)
25.9895833333,A3  (6,9)
25.9895833333,F3  (6,9)
25.9947916667,D4  (7,10)
26,C1  (9,12)
26,Gb1  (9,12)
26,Bb3  (9,12)
26,D2  (1,4)
26,A3  (1,4)
26,D3  (1,4)
26,F3  (1,4)
26.0052083333,Db2  (9,12)
26.0052083333,D1  (0,3)
26.125,Bb3  (9,12)
26.25,Gb1  (9,12)
26.25,Bb3  (9,12)
26.375,Bb3  (9,12)
26.5,D1  (9,12)
26.5,Gb1  (9,12)
26.5,Bb3  (9,12)
26.625,Bb3  (9,12)
26.75,Gb1  (9,12)
26.75,Bb3  (9,12)
26.875,C1  (9,12)
26.875,Bb3  (9,12)
26.8802083333,D1  (0,3)
27,C1  (9,12)
27,Gb1  (9,12)
27,Bb3  (9,12)
27.0052083333,D1  (0,3)
27.125,Bb3  (9,12)
27.2447916667,E4  (7,10)
27.25,Gb1  (9,12)
27.25,Bb3  (9,12)
27.375,Bb3  (9,12)
27.3802083333,E0  (0,3)
27.5,D1  (9,12)
27.5,Gb1  (9,12)
27.5,Bb3  (9,12)
27.5052083333,Gb2  (9,12)
27.6197916667,F4  (7,10)
27.625,Bb3  (9,12)
27.6302083333,E0  (0,3)
27.75,Gb1  (9,12)
27.75,Bb3  (9,12)
27.7552083333,F0  (0,3)
27.875,Bb3  (9,12)
27.8802083333,A0  (0,3)
27.9895833333,Bb2  (6,9)
27.9895833333,D3  (6,9)
27.9895833333,F3  (6,9)
27.9947916667,Bb3  (7,10)
28,C1  (9,12)
28,Gb1  (9,12)
28,Bb3  (9,12)
28,D3  (1,4)
28,Bb2  (1,4)
28,F3  (1,4)
28,G1  (1,4)
28.0052083333,G0  (0,3)
28.125,Bb3  (9,12)
28.25,Gb1  (9,12)
28.25,Bb3  (9,12)
28.375,Bb3  (9,12)
28.5,D1  (9,12)
28.5,Gb1  (9,12)
28.5,Bb3  (9,12)
28.625,Bb3  (9,12)
28.75,Gb1  (9,12)
28.75,Bb3  (9,12)
28.875,C1  (9,12)
28.875,Bb3  (9,12)
28.8802083333,G0  (0,3)
29,C1  (9,12)
29,Gb1  (9,12)
29,Bb3  (9,12)
29.0052083333,G0  (0,3)
29.125,Bb3  (9,12)
29.25,Gb1  (9,12)
29.25,Bb3  (9,12)
29.375,Bb3  (9,12)
29.3802083333,A0  (0,3)
29.4947916667,C4  (7,10)
29.5,D1  (9,12)
29.5,Gb1  (9,12)
29.5,Bb3  (9,12)
29.5,A1  (1,4)
29.5052083333,Gb2  (9,12)
29.5052083333,A0  (0,3)
29.625,Bb3  (9,12)
29.75,Bb1  (9,12)
29.75,Bb3  (9,12)
29.875,Bb3  (9,12)
29.9895833333,D3  (6,9)
29.9895833333,F3  (6,9)
29.9895833333,A3  (6,9)
29.9947916667,D4  (7,10)
30,C1  (9,12)
30,Gb1  (9,12)
30,Bb3  (9,12)
30,F3  (1,4)
30,D3  (1,4)
30,Bb1  (1,4)
30,A3  (1,4)
30.0052083333,Bb0  (0,3)
30.125,Bb3  (9,12)
30.25,Gb1  (9,12)
30.25,Bb3  (9,12)
30.375,Bb3  (9,12)
30.5,D1  (9,12)
30.5,Gb1  (9,12)
30.5,Bb3  (9,12)
30.625,Bb3  (9,12)
30.75,Gb1  (9,12)
30.75,Bb3  (9,12)
30.875,C1  (9,12)
30.875,Bb3  (9,12)
30.8802083333,Bb0  (0,3)
31,C1  (9,12)
31,Gb1  (9,12)
31,Bb3  (9,12)
31.0052083333,Bb0  (0,3)
31.125,Bb3  (9,12)
31.2447916667,E4  (7,10)
31.25,Gb1  (9,12)
31.25,Bb3  (9,12)
31.2552083333,Bb1  (0,3)
31.375,Bb3  (9,12)
31.5,D1  (9,12)
31.5,Gb1  (9,12)
31.5,Bb3  (9,12)
31.5052083333,Gb2  (9,12)
31.6197916667,F4  (7,10)
31.625,Bb3  (9,12)
31.6302083333,Bb0  (0,3)
31.75,Gb1  (9,12)
31.75,Bb3  (9,12)
31.875,Bb3  (9,12)
31.8802083333,E0  (0,3)
31.9895833333,G3  (6,9)
31.9895833333,C3  (6,9)
31.9895833333,E3  (6,9)
31.9947916667,A4  (7,10)
32,C1  (9,12)
32,Gb1  (9,12)
32,Bb3  (9,12)
32,G3  (1,4)
32,E3  (1,4)
32,C3  (1,4)
32,A1  (1,4)
32.0052083333,A0  (0,3)
32.125,Bb3  (9,12)
32.25,Gb1  (9,12)
32.25,Bb3  (9,12)
32.375,Bb3  (9,12)
32.5,D1  (9,12)
32.5,Gb1  (9,12)
32.5,Bb3  (9,12)
32.5052083333,E1  (0,3)
32.625,Bb3  (9,12)
32.75,Gb1  (9,12)
32.75,Bb3  (9,12)
32.875,C1  (9,12)
32.875,Bb3  (9,12)
32.8802083333,B1  (0,3)
32.9427083333,B1  (0,3)
33,C1  (9,12)
33,Gb1  (9,12)
33,Bb3  (9,12)
33.0052083333,A1  (0,3)
33.125,Bb3  (9,12)
33.25,Gb1  (9,12)
33.25,Bb3  (9,12)
33.375,Bb3  (9,12)
33.5,D1  (9,12)
33.5,Gb1  (9,12)
33.5,Bb3  (9,12)
33.5052083333,Gb2  (9,12)
33.625,Bb3  (9,12)
33.75,D1  (9,12)
33.75,Bb1  (9,12)
33.75,Bb3  (9,12)
33.8020833333,F3  (8,11)
33.8697916667,G3  (8,11)
33.875,D1  (9,12)
33.875,Bb3  (9,12)
33.9166666667,A3  (8,11)
33.9895833333,D3  (6,9)
33.9895833333,A3  (6,9)
33.9895833333,F3  (6,9)
34,C1  (9,12)
34,Gb1  (9,12)
34,Bb3  (9,12)
34,E4  (8,11)
34,A3  (2,5)
34,F3  (2,5)
34,D3  (2,5)
34,D2  (1,4)
34,A3  (1,4)
34,D3  (1,4)
34,F3  (1,4)
34.0052083333,Db2  (9,12)
34.0052083333,E3  (9,12)
34.0052083333,D1  (0,3)
34.125,Bb3  (9,12)
34.25,Gb1  (9,12)
34.25,Bb3  (9,12)
34.25,F3  (2,5)
34.25,A3  (2,5)
34.25,D3  (2,5)
34.25,D4  (8,11)
34.375,Bb3  (9,12)
34.375,A3  (8,11)
34.5,D1  (9,12)
34.5,Gb1  (9,12)
34.5,Bb3  (9,12)
34.5026041667,D3  (9,12)
34.625,Bb3  (9,12)
34.625,F3  (8,11)
34.625,F3  (2,5)
34.625,D3  (2,5)
34.625,A3  (2,5)
34.75,Gb1  (9,12)
34.75,Bb3  (9,12)
34.7552083333,D1  (0,3)
34.875,C1  (9,12)
34.875,Bb3  (9,12)
34.875,E4  (8,11)
34.8802083333,Eb3  (9,12)
35,C1  (9,12)
35,Gb1  (9,12)
35,Bb3  (9,12)
35,A3  (2,5)
35,F3  (2,5)
35,D3  (2,5)
35.0052083333,Eb3  (9,12)
35.0052083333,D1  (0,3)
35.125,Bb3  (9,12)
35.1302083333,Eb3  (9,12)
35.25,Gb1  (9,12)
35.25,Bb3  (9,12)
35.25,D4  (8,11)
35.2552083333,E3  (9,12)
35.375,Bb3  (9,12)
35.375,A3  (8,11)
35.375,F3  (2,5)
35.375,D3  (2,5)
35.375,A3  (2,5)
35.5,D1  (9,12)
35.5,Gb1  (9,12)
35.5,Bb3  (9,12)
35.5026041667,D3  (9,12)
35.5052083333,Gb2  (9,12)
35.625,Bb3  (9,12)
35.625,F3  (8,11)
35.75,Bb1  (9,12)
35.75,Bb3  (9,12)
35.75,F3  (2,5)
35.75,A3  (2,5)
35.75,D3  (2,5)
35.7552083333,E3  (9,12)
35.875,Bb3  (9,12)
35.9895833333,Bb2  (6,9)
35.9895833333,D3  (6,9)
35.9895833333,F3  (6,9)
36,C4  (8,11)
36,C1  (9,12)
36,Gb1  (9,12)
36,Bb3  (9,12)
36,D3  (2,5)
36,F3  (2,5)
36,Bb2  (2,5)
36,D3  (1,4)
36,Bb2  (1,4)
36,F3  (1,4)
36,G1  (1,4)
36.0052083333,G0  (0,3)
36.0052083333,E3  (9,12)
36.125,Bb3  (9,12)
36.25,Bb3  (8,11)
36.25,F3  (2,5)
36.25,D3  (2,5)
36.25,Bb2  (2,5)
36.25,Gb1  (9,12)
36.25,Bb3  (9,12)
36.375,F3  (8,11)
36.375,Bb3  (9,12)
36.5,D1  (9,12)
36.5,Gb1  (9,12)
36.5,Bb3  (9,12)
36.5026041667,D3  (9,12)
36.625,Bb3  (9,12)
36.625,D3  (8,11)
36.625,D3  (2,5)
36.625,Bb2  (2,5)
36.625,F3  (2,5)
36.75,Gb1  (9,12)
36.75,Bb3  (9,12)
36.7552083333,G0  (0,3)
36.875,C1  (9,12)
36.875,Bb3  (9,12)
36.875,C4  (8,11)
36.8802083333,Eb3  (9,12)
37,Bb2  (2,5)
37,F3  (2,5)
37,D3  (2,5)
37,C1  (9,12)
37,Gb1  (9,12)
37,Bb3  (9,12)
37.0052083333,G0  (0,3)
37.0052083333,Eb3  (9,12)
37.125,Bb3  (9,12)
37.1302083333,Eb3  (9,12)
37.25,Bb3  (8,11)
37.25,Gb1  (9,12)
37.25,Bb3  (9,12)
37.2552083333,E3  (9,12)
37.375,F3  (8,11)
37.375,F3  (2,5)
37.375,D3  (2,5)
37.375,Bb2  (2,5)
37.375,Bb3  (9,12)
37.5,A1  (1,4)
37.5,C3  (1,4)
37.5,A2  (1,4)
37.5,C1  (9,12)
37.5,D1  (9,12)
37.5,Gb1  (9,12)
37.5,Bb3  (9,12)
37.5026041667,D3  (9,12)
37.5052083333,A0  (0,3)
37.5052083333,Gb2  (9,12)
37.625,Bb3  (9,12)
37.75,C3  (2,5)
37.75,A2  (2,5)
37.75,F3  (2,5)
37.75,Bb1  (9,12)
37.75,Bb3  (9,12)
37.7552083333,E3  (9,12)
37.875,Bb3  (9,12)
37.9895833333,D3  (6,9)
37.9895833333,F3  (6,9)
37.9895833333,A3  (6,9)
38,Bb3  (8,11)
38,F3  (1,4)
38,D3  (1,4)
38,Bb1  (1,4)
38,A3  (1,4)
38,D3  (2,5)
38,F3  (2,5)
38,Bb2  (2,5)
38,C1  (9,12)
38,Gb1  (9,12)
38,Bb3  (9,12)
38.0052083333,Bb0  (0,3)
38.0052083333,E3  (9,12)
38.125,Bb3  (9,12)
38.25,A3  (8,11)
38.25,F3  (2,5)
38.25,D3  (2,5)
38.25,Bb2  (2,5)
38.25,Gb1  (9,12)
38.25,Bb3  (9,12)
38.375,F3  (8,11)
38.375,Bb3  (9,12)
38.5,D1  (9,12)
38.5,Gb1  (9,12)
38.5,Bb3  (9,12)
38.5026041667,D3  (9,12)
38.625,D3  (8,11)
38.625,F3  (2,5)
38.625,D3  (2,5)
38.625,Bb2  (2,5)
38.625,Bb3  (9,12)
38.75,Gb1  (9,12)
38.75,Bb3  (9,12)
38.7552083333,Bb0  (0,3)
38.875,Bb2  (8,11)
38.875,C1  (9,12)
38.875,Bb3  (9,12)
38.8802083333,Eb3  (9,12)
39,F3  (2,5)
39,Bb2  (2,5)
39,D3  (2,5)
39,C1  (9,12)
39,Gb1  (9,12)
39,Bb3  (9,12)
39.0052083333,Bb0  (0,3)
39.0052083333,Eb3  (9,12)
39.125,Bb3  (9,12)
39.1302083333,Eb3  (9,12)
39.25,Gb1  (9,12)
39.25,Bb3  (9,12)
39.2552083333,E3  (9,12)
39.375,D3  (2,5)
39.375,F3  (2,5)
39.375,Bb2  (2,5)
39.375,Bb3  (9,12)
39.5,D1  (9,12)
39.5,Gb1  (9,12)
39.5,Bb3  (9,12)
39.5026041667,D3  (9,12)
39.5052083333,Gb2  (9,12)
39.625,Bb3  (9,12)
39.75,D3  (2,5)
39.75,Bb2  (2,5)
39.75,F3  (2,5)
39.75,Bb1  (9,12)
39.75,Bb3  (9,12)
39.7552083333,E3  (9,12)
39.875,Bb3  (9,12)
39.9895833333,G3  (6,9)
39.9895833333,C3  (6,9)
39.9895833333,E3  (6,9)
40,A2  (8,11)
40,G3  (1,4)
40,E3  (1,4)
40,C3  (1,4)
40,A1  (1,4)
40,E3  (2,5)
40,C3  (2,5)
40,A2  (2,5)
40,C1  (9,12)
40,Gb1  (9,12)
40,Bb3  (9,12)
40.0052083333,A0  (0,3)
40.0052083333,E3  (9,12)
40.125,Bb3  (9,12)
40.25,Bb2  (8,11)
40.25,C3  (2,5)
40.25,E3  (2,5)
40.25,A2  (2,5)
40.25,Gb1  (9,12)
40.25,Bb3  (9,12)
40.375,Bb3  (9,12)
40.5,C3  (8,11)
40.5,D1  (9,12)
40.5,Gb1  (9,12)
40.5,Bb3  (9,12)
40.5026041667,D3  (9,12)
40.625,E3  (2,5)
40.625,C3  (2,5)
40.625,A2  (2,5)
40.625,Bb3  (9,12)
40.75,D3  (8,11)
40.75,Gb1  (9,12)
40.75,Bb3  (9,12)
40.7552083333,A0  (0,3)
40.875,C1  (9,12)
40.875,Bb3  (9,12)
40.8802083333,Eb3  (9,12)
41,E3  (8,11)
41,E3  (2,5)
41,C3  (2,5)
41,A2  (2,5)
41,C1  (9,12)
41,Gb1  (9,12)
41,Bb3  (9,12)
41.0052083333,A0  (0,3)
41.0052083333,Eb3  (9,12)
41.125,Bb3  (9,12)
41.1302083333,Eb3  (9,12)
41.25,F3  (8,11)
41.25,C1  (9,12)
41.25,Gb1  (9,12)
41.25,Bb3  (9,12)
41.2552083333,E3  (9,12)
41.375,E3  (2,5)
41.375,C3  (2,5)
41.375,A2  (2,5)
41.375,Bb3  (9,12)
41.5,G3  (8,11)
41.5,C1  (9,12)
41.5,D1  (9,12)
41.5,Bb1  (9,12)
41.5,Bb3  (9,12)
41.5026041667,D3  (9,12)
41.5052083333,Gb2  (9,12)
41.625,Bb3  (9,12)
41.75,A3  (8,11)
41.75,E3  (2,5)
41.75,C3  (2,5)
41.75,A2  (2,5)
41.75,D1  (9,12)
41.75,Bb3  (9,12)
41.7552083333,E3  (9,12)
41.84375,F3  (8,11)
41.875,D1  (9,12)
41.875,Bb3  (9,12)
41.8854166667,G3  (8,11)
41.9479166667,A3  (8,11)
41.9895833333,D3  (6,9)
41.9895833333,A3  (6,9)
41.9895833333,F3  (6,9)
41.9947916667,A4  (7,10)
42,E4  (8,11)
42,D2  (1,4)
42,A3  (1,4)
42,D3  (1,4)
42,F3  (1,4)
42,A3  (2,5)
42,F3  (2,5)
42,D3  (2,5)
42,C1  (9,12)
42,Gb1  (9,12)
42,Bb3  (9,12)
42.0052083333,D1  (0,3)
42.0052083333,Db2  (9,12)
42.0052083333,E3  (9,12)
42.125,Bb3  (9,12)
42.25,D4  (8,11)
42.25,F3  (2,5)
42.25,A3  (2,5)
42.25,D3  (2,5)
42.25,Gb1  (9,12)
42.25,Bb3  (9,12)
42.375,A3  (8,11)
42.375,Bb3  (9,12)
42.5,D1  (9,12)
42.5,Gb1  (9,12)
42.5,Bb3  (9,12)
42.5026041667,D3  (9,12)
42.625,F3  (8,11)
42.625,F3  (2,5)
42.625,D3  (2,5)
42.625,A3  (2,5)
42.625,Bb3  (9,12)
42.75,Gb1  (9,12)
42.75,Bb3  (9,12)
42.7552083333,D1  (0,3)
42.875,E4  (8,11)
42.875,C1  (9,12)
42.875,Bb3  (9,12)
42.8802083333,Eb3  (9,12)
43,A3  (2,5)
43,F3  (2,5)
43,D3  (2,5)
43,C1  (9,12)
43,Gb1  (9,12)
43,Bb3  (9,12)
43.0052083333,D1  (0,3)
43.0052083333,Eb3  (9,12)
43.0833333333,F3  (10,13)
43.125,Bb3  (9,12)
43.1302083333,Eb3  (9,12)
43.25,D4  (8,11)
43.25,Gb1  (9,12)
43.25,Bb3  (9,12)
43.2552083333,E3  (9,12)
43.3333333333,E3  (10,13)
43.375,A3  (8,11)
43.375,F3  (2,5)
43.375,D3  (2,5)
43.375,A3  (2,5)
43.375,Bb3  (9,12)
43.5,D1  (9,12)
43.5,Gb1  (9,12)
43.5,Bb3  (9,12)
43.5026041667,D3  (9,12)
43.5052083333,Gb2  (9,12)
43.625,F3  (8,11)
43.625,Bb3  (9,12)
43.75,F3  (2,5)
43.75,A3  (2,5)
43.75,D3  (2,5)
43.75,Gb1  (9,12)
43.75,Bb3  (9,12)
43.7552083333,E3  (9,12)
43.8333333333,F3  (10,13)
43.875,Bb3  (9,12)
43.9895833333,Bb2  (6,9)
43.9895833333,D3  (6,9)
43.9895833333,F3  (6,9)
43.9947916667,G4  (7,10)
44,C4  (8,11)
44,D3  (1,4)
44,Bb2  (1,4)
44,F3  (1,4)
44,G1  (1,4)
44,D3  (2,5)
44,F3  (2,5)
44,Bb2  (2,5)
44,C1  (9,12)
44,Gb1  (9,12)
44,Bb3  (9,12)
44.0052083333,G0  (0,3)
44.0052083333,E3  (9,12)
44.0833333333,Bb2  (10,13)
44.125,Bb3  (9,12)
44.25,Bb3  (8,11)
44.25,F3  (2,5)
44.25,D3  (2,5)
44.25,Bb2  (2,5)
44.25,Gb1  (9,12)
44.25,Bb3  (9,12)
44.375,F3  (8,11)
44.375,Bb3  (9,12)
44.5,D1  (9,12)
44.5,Gb1  (9,12)
44.5,Bb3  (9,12)
44.5026041667,D3  (9,12)
44.625,D3  (8,11)
44.625,D3  (2,5)
44.625,Bb2  (2,5)
44.625,F3  (2,5)
44.625,Bb3  (9,12)
44.75,Gb1  (9,12)
44.75,Bb3  (9,12)
44.7552083333,G0  (0,3)
44.875,C4  (8,11)
44.875,C1  (9,12)
44.875,Bb3  (9,12)
44.8802083333,Eb3  (9,12)
45,Bb2  (2,5)
45,F3  (2,5)
45,D3  (2,5)
45,C1  (9,12)
45,Gb1  (9,12)
45,Bb3  (9,12)
45.0052083333,G0  (0,3)
45.0052083333,Eb3  (9,12)
45.125,Bb3  (9,12)
45.1302083333,Eb3  (9,12)
45.25,Bb3  (8,11)
45.25,Gb1  (9,12)
45.25,Bb3  (9,12)
45.2552083333,E3  (9,12)
45.375,F3  (8,11)
45.375,F3  (2,5)
45.375,D3  (2,5)
45.375,Bb2  (2,5)
45.375,Bb3  (9,12)
45.5,A1  (1,4)
45.5,C3  (1,4)
45.5,A2  (1,4)
45.5,D1  (9,12)
45.5,Gb1  (9,12)
45.5,Bb3  (9,12)
45.5026041667,D3  (9,12)
45.5052083333,A0  (0,3)
45.5052083333,Gb2  (9,12)
45.625,Bb3  (9,12)
45.75,C3  (2,5)
45.75,A2  (2,5)
45.75,F3  (2,5)
45.75,Bb1  (9,12)
45.75,Bb3  (9,12)
45.7552083333,E3  (9,12)
45.875,Bb3  (9,12)
45.9895833333,D3  (6,9)
45.9895833333,F3  (6,9)
45.9895833333,A3  (6,9)
45.9947916667,A4  (7,10)
46,Bb3  (8,11)
46,F3  (1,4)
46,D3  (1,4)
46,Bb1  (1,4)
46,A3  (1,4)
46,D3  (2,5)
46,F3  (2,5)
46,Bb2  (2,5)
46,C1  (9,12)
46,Gb1  (9,12)
46,Bb3  (9,12)
46.0052083333,Bb0  (0,3)
46.0052083333,E3  (9,12)
46.125,Bb3  (9,12)
46.25,A3  (8,11)
46.25,F3  (2,5)
46.25,D3  (2,5)
46.25,Bb2  (2,5)
46.25,Gb1  (9,12)
46.25,Bb3  (9,12)
46.375,F3  (8,11)
46.375,Bb3  (9,12)
46.5,D1  (9,12)
46.5,Gb1  (9,12)
46.5,Bb3  (9,12)
46.5026041667,D3  (9,12)
46.625,D3  (8,11)
46.625,F3  (2,5)
46.625,D3  (2,5)
46.625,Bb2  (2,5)
46.625,Bb3  (9,12)
46.75,Gb1  (9,12)
46.75,Bb3  (9,12)
46.7552083333,Bb0  (0,3)
46.875,Bb2  (8,11)
46.875,C1  (9,12)
46.875,Bb3  (9,12)
46.8802083333,Eb3  (9,12)
47,F3  (2,5)
47,Bb2  (2,5)
47,D3  (2,5)
47,C1  (9,12)
47,Gb1  (9,12)
47,Bb3  (9,12)
47.0052083333,Bb0  (0,3)
47.0052083333,Eb3  (9,12)
47.0833333333,F3  (10,13)
47.125,Bb3  (9,12)
47.1302083333,Eb3  (9,12)
47.25,Gb1  (9,12)
47.25,Bb3  (9,12)
47.2552083333,E3  (9,12)
47.3333333333,E3  (10,13)
47.375,D3  (2,5)
47.375,F3  (2,5)
47.375,Bb2  (2,5)
47.375,Bb3  (9,12)
47.5,D1  (9,12)
47.5,Gb1  (9,12)
47.5,Bb3  (9,12)
47.5026041667,D3  (9,12)
47.5052083333,Gb2  (9,12)
47.625,Bb3  (9,12)
47.75,D3  (2,5)
